"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2014","1.242","1.283","1.283","1.190","11.70M","-3.94%"
"03/25/2014","1.293","1.355","1.355","1.293","12.44M","-10.02%"
"03/24/2014","1.437","1.437","1.437","1.437","9.74K","-1.37%"
"03/23/2014","1.457","1.426","1.457","1.426","188.66K","2.17%"
"03/20/2014","1.426","1.447","1.457","1.416","832.05K","-3.52%"
"03/19/2014","1.478","1.488","1.488","1.457","170.96K","-0.67%"
"03/18/2014","1.488","1.416","1.488","1.416","1.74M","3.55%"
"03/17/2014","1.437","1.416","1.457","1.416","432.87K","0.77%"
"03/16/2014","1.426","1.396","1.426","1.365","747.98K","5.24%"
"03/13/2014","1.355","1.375","1.406","1.293","165.68K","-2.94%"
"03/12/2014","1.396","1.416","1.437","1.385","1.28M","-1.41%"
"03/11/2014","1.416","1.416","1.447","1.416","349.68K","-3.48%"
"03/10/2014","1.467","1.437","1.467","1.426","2.15M","0.00%"
"03/09/2014","1.467","1.478","1.508","1.457","1.72M","-2.72%"
"03/06/2014","1.508","1.488","1.508","1.478","54.40K","1.34%"
"03/05/2014","1.488","1.519","1.529","1.488","1.01M","-1.33%"
"03/04/2014","1.508","1.447","1.508","1.447","1.27M","4.22%"
"03/03/2014","1.447","1.457","1.478","1.447","455.19K","0.00%"
"03/02/2014","1.447","1.498","1.508","1.447","2.88M","-4.74%"
"02/27/2014","1.519","1.488","1.519","1.488","1.19M","0.73%"
"02/26/2014","1.508","1.508","1.508","1.488","685.29K","0.67%"
"02/25/2014","1.498","1.488","1.508","1.467","343.28K","1.35%"
"02/24/2014","1.478","1.467","1.488","1.447","1.12M","0.75%"
"02/23/2014","1.467","1.478","1.498","1.467","1.26M","-0.74%"
"02/20/2014","1.478","1.457","1.478","1.437","6.02M","0.00%"
"02/19/2014","1.478","1.447","1.488","1.447","1.19M","1.44%"
"02/18/2014","1.457","1.457","1.457","1.447","432.56K","-0.68%"
"02/17/2014","1.467","1.457","1.478","1.457","163.18K","0.69%"
"02/16/2014","1.457","1.457","1.467","1.457","2.70M","-1.42%"
"02/13/2014","1.478","1.457","1.478","1.457","900.57K","0.00%"
"02/12/2014","1.478","1.478","1.488","1.457","2.04M","0.75%"
"02/11/2014","1.467","1.478","1.519","1.457","2.75M","-1.41%"
"02/10/2014","1.488","1.498","1.498","1.488","4.00M","0.00%"
"02/09/2014","1.488","1.457","1.508","1.447","3.38M","0.68%"
"02/06/2014","1.478","1.457","1.478","1.457","1.36M","2.14%"
"02/05/2014","1.447","1.467","1.488","1.447","2.23M","0.00%"
"02/04/2014","1.447","1.437","1.457","1.437","1.46M","0.70%"
"02/03/2014","1.437","1.437","1.467","1.437","745.06K","0.00%"
"02/02/2014","1.437","1.467","1.467","1.437","462.89K","0.77%"
"01/30/2014","1.426","1.457","1.467","1.416","852.03K","-1.45%"
"01/29/2014","1.447","1.416","1.467","1.416","5.73M","0.70%"
"01/28/2014","1.437","1.365","1.457","1.365","2.59M","0.77%"
"01/27/2014","1.426","1.447","1.467","1.375","2.45M","-2.13%"
"01/26/2014","1.457","1.467","1.467","1.447","1.10M","0.00%"
"01/23/2014","1.457","1.498","1.508","1.457","5.14M","-1.42%"
"01/22/2014","1.478","1.478","1.498","1.478","6.77M","1.44%"
"01/21/2014","1.457","1.498","1.498","1.457","2.38M","0.00%"
"01/20/2014","1.457","1.467","1.488","1.457","3.08M","-1.42%"
"01/19/2014","1.478","1.467","1.478","1.447","2.08M","1.44%"
"01/16/2014","1.457","1.437","1.457","1.437","831.25K","0.00%"
"01/15/2014","1.457","1.426","1.457","1.426","3.67M","0.69%"
"01/14/2014","1.447","1.457","1.467","1.437","3.46M","-1.36%"
